motif,N,K,n,x,p,q
AABBG,6000,2981,554,382,4.853247611570106e-22,1.2941993630853617e-21
EEEGGGGGG,6000,2981,1334,836,2.393994549951285e-27,7.643605917333251e-27
DDDEEEEEEE,6000,2981,1875,1131,5.560973084552365e-29,1.8676475642458882e-28
OOOOOG,6000,2981,2414,1404,2.438167505431672e-27,7.715445617188223e-27
GGGBA,6000,2981,319,242,7.835192055036281e-23,2.153921522465572e-22
AAAAAAAAAABBB,6000,2981,264,233,6.665774132915531e-42,4.23752784163916e-41
GGGGGGGGEE,6000,2981,973,620,4.800543331253904e-22,1.2849574631025489e-21
GGAAAAAA,6000,2981,239,188,4.947201727983751e-21,1.2625116954567851e-20
DDDDDDDDDD,6000,2981,2064,1324,6.71758645610465e-60,7.97153592791085e-59
CCCCCCF,6000,2981,203,170,8.002599460586818e-25,2.3351847606302523e-24
BBBAAAA,6000,2981,933,695,2.671470977330478e-63,3.5223839552950003e-62
AAAAAE,6000,2981,798,627,2.383815321918541e-72,3.947154672572096e-71
EEEEEEEEEEE,6000,2981,3798,2302,1.1817471165400949e-111,4.0066854617930845e-110
GBAAAAA,6000,2981,448,335,1.7487368818656897e-29,6.014979033277155e-29
GGGGGGGGE,6000,2981,1000,638,5.850215199223253e-23,1.6144779929639365e-22
EAAAAAAA,6000,2981,558,417,7.797192167980326e-37,3.7510816375689134e-36
AAAABBB,6000,2981,1078,856,1.784556579885886e-108,5.524366455994568e-107
AAAAAAAACC,6000,2981,240,216,4.805319432341964e-42,3.1388875558050255e-41
AAAAACCCC,6000,2981,246,217,6.043913457728282e-39,3.28493616939125e-38
OOOOOAAAAA,6000,2981,682,497,4.0032272333475666e-39,2.2095331706538507e-38
AAAAE,6000,2981,870,667,2.5426662728766567e-69,3.935605187582999e-68
BBAAAAA,6000,2981,1493,1115,9.174858879020196e-114,3.26624976093119e-112
OOOOOAAAAAAAAA,6000,2981,334,271,1.942276963827884e-34,8.182847326896177e-34
CCCFFF,6000,2981,286,230,3.7007305510066367e-28,1.2142489181183063e-27
GGBAAA,6000,2981,378,285,4.53744802028698e-26,1.3925271510535904e-25
FFFFFF,6000,2981,868,632,1.085692053913854e-50,9.6626592798333e-50
GGGGGGEEE,6000,2981,1307,839,6.40126256246778e-33,2.560505024987112e-32
OOOOOAA,6000,2981,909,596,8.893075088706048e-26,2.7175405421282e-25
AAAAAAACCC,6000,2981,227,205,1.8185635132906047e-40,1.079014351219092e-39
AAAAABBB,6000,2981,923,739,1.0092747708287656e-94,2.5664415601074323e-93
GGGGGGGEE,6000,2981,1166,751,1.4069912662650638e-29,4.86299893971226e-29
FFFFF,6000,2981,1033,747,3.212921862097047e-59,3.7501645341198314e-58
GBBBAAAA,6000,2981,346,258,2.042893667591204e-22,5.530571449904705e-22
GGGGGEEEEE,6000,2981,1476,926,2.970688937225857e-31,1.090273465621036e-30
EEEED,6000,2981,2111,1313,9.427373068763896e-47,7.065568026273573e-46
AABBBGG,6000,2981,285,224,7.7549566520141245e-25,2.272234212441999e-24
BBAAAAAAAAA,6000,2981,570,471,5.989877435944525e-66,8.529585468785003e-65
OOAAAAAAAAAAAA,6000,2981,171,148,8.5942845562272e-25,2.4976043281770476e-24
EGGGGG,6000,2981,1768,1116,9.440491984066944e-42,5.89616692338216e-41
OOOOAAAAAAAA,6000,2981,422,331,2.3277708547796315e-36,1.0692728055503856e-35
AAACCCCCCC,6000,2981,183,166,1.932109912702836e-33,7.860927187682395e-33
ABBBB,6000,2981,955,756,1.6125449651082582e-92,3.9590759143347577e-91
BGGGGGG,6000,2981,769,563,7.363441975192206e-46,5.349766006466173e-45
EEEGGGGGGG,6000,2981,1113,698,2.675928794992985e-22,7.189665290698135e-22
GGGGGGGGG,6000,2981,1444,910,1.1306942301614403e-31,4.328248881048093e-31
GAAAAAAAA,6000,2981,248,194,3.698668498542138e-21,9.507046826577626e-21
AAAAAAAAAAAAAA,6000,2981,590,497,9.796852731967604e-76,1.885232201394847e-74
DDDDDDEE,6000,2981,1899,1178,3.7399973476703867e-39,2.0803735246416528e-38
AAAAAB,6000,2981,2197,1656,4.460763648914294e-208,5.293439530044961e-206
EEEEEEEEEEEEEEEEEEE,6000,2981,2984,1798,3.282298009050293e-60,3.96101047871832e-59
OOOOAAAA,6000,2981,748,519,1.8937150774459448e-31,7.133995424029167e-31
OOOOOA,6000,2981,974,638,1.3052824403400864e-27,4.2052538349418156e-27
EEEEE,6000,2981,4268,2607,5.311323248392589e-177,4.7270776910694045e-175
ABBBBG,6000,2981,243,196,2.2035447775563992e-24,6.300899122972515e-24
AABBBBG,6000,2981,225,180,1.0902494187585401e-21,2.843434381524104e-21
GAAAAA,6000,2981,408,307,8.141253168104302e-28,2.6348055707683014e-27
EDDDDDD,6000,2981,1888,1206,8.55223666546159e-51,7.70783861494766e-50
CCCCF,6000,2981,310,258,1.7144728280800254e-36,8.084136778761444e-36
DDEEEE,6000,2981,2125,1296,7.79451742139223e-39,4.172704063181404e-38
ABBBBB,6000,2981,601,471,2.444359926338548e-52,2.3518706318284407e-51
GGGGGGGGGG,6000,2981,1235,788,3.1288600573911785e-29,1.060832552791676e-28
GGGBBB,6000,2981,800,563,3.3834098473433946e-37,1.6613709043506875e-36
AAAAAAAAAAEEE,6000,2981,315,259,8.11314903808324e-35,3.500946736433495e-34
GGGGGGGE,6000,2981,1201,773,1.9360471130150417e-30,6.858037534660249e-30
AAAAAAAE,6000,2981,640,523,2.1161009886316355e-70,3.3481420086793875e-69
OAAAAAA,6000,2981,607,450,2.2757137184084973e-38,1.1827066916108395e-37
EEEEEEEEEEEEEEE,6000,2981,3403,2058,1.180844538270026e-82,2.47282738602429e-81
ACCCC,6000,2981,340,296,1.7636272076096299e-50,1.5502500886642677e-49
AAAAAAAAEEE,6000,2981,461,374,7.984904641104211e-48,6.316946782740219e-47
AAAAAAAABBBB,6000,2981,278,237,5.079792262824964e-37,2.4772685555694345e-36
EEDDDDDDDDDD,6000,2981,1509,957,2.103011206962947e-35,9.358399870985115e-35
OAAAAA,6000,2981,704,511,1.700416667017947e-39,9.763682797715951e-39
EEEEEEEG,6000,2981,2785,1736,4.067061779104271e-75,7.62038943874274e-74
BBBBGGG,6000,2981,567,425,3.980362904919473e-38,2.0242988487876175e-37
OOOOOOG,6000,2981,2400,1395,7.021538503450979e-27,2.1926909712531128e-26
OOOOOOAAAAA,6000,2981,678,495,2.519146376830542e-39,1.4123088348845243e-38
EEDDDD,6000,2981,2047,1288,8.201366208578047e-50,7.035388843985023e-49
AAAAAAAAAAAE,6000,2981,303,252,1.5378157281672028e-35,6.88631948713867e-35
GGGEEEE,6000,2981,2262,1448,1.3605407855584048e-67,1.9769490598318048e-66
OOAAAAAAAAA,6000,2981,342,277,6.136830497768514e-35,2.680627800252259e-34
OOOOOAAAA,6000,2981,743,515,5.2545900177194885e-31,1.9088102513348346e-30
GGGBB,6000,2981,1198,823,5.265326000171393e-50,4.571844039173209e-49
AAAAAEEE,6000,2981,677,529,1.5912084816673533e-58,1.7983181570589772e-57
EAAAAA,6000,2981,737,525,7.786900158778945e-37,3.7510816375689134e-36
GBBAAAAA,6000,2981,470,352,3.0485231801681006e-31,1.1131017970665063e-30
GGBAAAAAA,6000,2981,263,207,3.855643655472521e-23,1.0807945994867854e-22
DDDEEEEEEEEEEEE,6000,2981,1514,910,3.492627794356695e-21,9.042730871207151e-21
AAAAAAAAAAEE,6000,2981,344,282,1.8876213130703442e-37,9.33323871462559e-37
EEEEDD,6000,2981,2083,1295,1.2119026663032744e-45,8.543313845623083e-45
FFFFFD,6000,2981,527,381,2.041354569241038e-28,6.728909506016755e-28
CCCCCCC,6000,2981,340,282,2.4150046427718667e-39,1.375586644522855e-38
OOOOOOOOOOOOOOOOOOOOOAAAAAAA,6000,2981,460,354,1.018749305720364e-35,4.6200605456872546e-35
